fold,level,hierarchy,class,precision,recall,f1,support
P6,image,gene,ftsZ,1.0,1.0,1.0,63
P6,image,gene,gyrA,0.10185185185185185,0.1746031746031746,0.1286549707602339,63
P6,image,gene,gyrB,0.058823529411764705,0.015873015873015872,0.025,63
P6,image,gene,lptA,0.5227272727272727,0.36507936507936506,0.42990654205607476,63
P6,image,gene,lptC,0.6458333333333334,0.9841269841269841,0.779874213836478,63
P6,image,gene,lpxA,0.1111111111111111,0.06349206349206349,0.08080808080808081,63
P6,image,gene,lpxC,0.6224489795918368,0.9682539682539683,0.7577639751552795,63
P6,image,gene,mrcA,0.16049382716049382,0.4126984126984127,0.2311111111111111,63
P6,image,gene,mrcB,0.06097560975609756,0.07936507936507936,0.06896551724137931,63
P6,image,gene,mrdA,0.9836065573770492,0.9523809523809523,0.967741935483871,63
P6,image,gene,msbA,0.0,0.0,0.0,63
P6,image,gene,murA,0.9333333333333333,0.6666666666666666,0.7777777777777778,63
P6,image,gene,murC,0.53125,0.5396825396825397,0.5354330708661418,63
P6,image,gene,parC,0.0,0.0,0.0,63
P6,image,gene,parE,0.0,0.0,0.0,63
P6,image,gene,rplA,0.43902439024390244,0.2857142857142857,0.34615384615384615,63
P6,image,gene,rplC,0.5543478260869565,0.8095238095238095,0.6580645161290323,63
P6,image,gene,rpoA,0.43089430894308944,0.8412698412698413,0.5698924731182796,63
P6,image,gene,rpoB,0.7457627118644068,0.6984126984126984,0.7213114754098361,63
P6,image,gene,rpsA,0.1590909090909091,0.2222222222222222,0.18543046357615894,63
P6,image,gene,rpsL,0.3333333333333333,0.5873015873015873,0.42528735632183906,63
P6,image,gene,secA,0.14473684210526316,0.3492063492063492,0.20465116279069767,63
P6,image,gene,secY,0.058823529411764705,0.031746031746031744,0.041237113402061855,63
P6,image,pathway,10-formyltetrahydrofolate biosynthetic process,0.22033898305084745,0.4126984126984127,0.287292817679558,63
P6,image,pathway,DNA replication,0.08,0.031746031746031744,0.045454545454545456,63
P6,image,pathway,DNA topological change,0.36,0.35714285714285715,0.35856573705179284,126
P6,image,pathway,DNA-templated DNA replication,0.06060606060606061,0.031746031746031744,0.041666666666666664,63
P6,image,pathway,Gram-negative-bacterium-type cell outer membrane assembly,0.7857142857142857,0.873015873015873,0.8270676691729323,126
P6,image,pathway,WT NC,0.5654450261780105,0.42857142857142855,0.48758465011286684,252
P6,image,pathway,bacterial-type flagellum assembly,0.6153846153846154,0.8888888888888888,0.7272727272727273,126
P6,image,pathway,cell division,0.9242424242424242,0.7261904761904762,0.8133333333333334,252
P6,image,pathway,cell wall organization,0.38565022421524664,0.6825396825396826,0.49283667621776506,126
P6,image,pathway,cell wall repair,0.06097560975609756,0.07936507936507936,0.06896551724137931,63
P6,image,pathway,chromosome organization,0.0,0.0,0.0,63
P6,image,pathway,chromosome segregation,0.0,0.0,0.0,63
P6,image,pathway,cytoplasmic translation,0.4819277108433735,0.6349206349206349,0.547945205479452,252
P6,image,pathway,folic acid biosynthetic process,0.0625,0.015873015873015872,0.02531645569620253,63
P6,image,pathway,intracellular protein transmembrane transport,0.1989247311827957,0.29365079365079366,0.23717948717948717,126
P6,image,pathway,lipid A biosynthetic process,0.48507462686567165,0.5158730158730159,0.5,126
P6,image,pathway,lipid translocation,0.0,0.0,0.0,63
P6,image,family,Cell wall,0.3180327868852459,0.5132275132275133,0.39271255060728744,189
P6,image,family,DNA,0.15517241379310345,0.07142857142857142,0.09782608695652174,126
P6,image,family,Folate,0.22388059701492538,0.23809523809523808,0.23076923076923078,126
P6,image,family,Fts,0.8539325842696629,0.6031746031746031,0.7069767441860465,126
P6,image,family,Gyrase,0.36,0.35714285714285715,0.35856573705179284,126
P6,image,family,LPS,0.7857142857142857,0.873015873015873,0.8270676691729323,126
P6,image,family,Lipid,0.0,0.0,0.0,63
P6,image,family,Lipid A,0.48507462686567165,0.5158730158730159,0.5,126
P6,image,family,Mur,0.6972477064220184,0.6031746031746031,0.6468085106382979,126
P6,image,family,RNAP,0.6153846153846154,0.8888888888888888,0.7272727272727273,126
P6,image,family,Ribosome,0.4819277108433735,0.6349206349206349,0.547945205479452,252
P6,image,family,Secretion,0.1989247311827957,0.29365079365079366,0.23717948717948717,126
P6,image,family,TopoIV,0.0,0.0,0.0,126
P6,image,family,Unknown,0.5654450261780105,0.42857142857142855,0.48758465011286684,252
P6,well,guide,NC_1,0.0,0.0,0.0,1
P6,well,guide,NC_2,0.0,0.0,0.0,1
P6,well,guide,NC_3,0.0,0.0,0.0,1
P6,well,guide,NC_4,0.0,0.0,0.0,1
P6,well,guide,NC_5,0.0,0.0,0.0,1
P6,well,guide,NC_6,0.0,0.0,0.0,1
P6,well,guide,WT NC_1,0.0,0.0,0.0,1
P6,well,guide,WT NC_2,1.0,1.0,1.0,1
P6,well,guide,WT NC_3,0.0,0.0,0.0,1
P6,well,guide,WT NC_4,0.0,0.0,0.0,1
P6,well,guide,WT NC_5,0.0,0.0,0.0,1
P6,well,guide,WT NC_6,0.0,0.0,0.0,1
P6,well,guide,dnaB_1,0.0,0.0,0.0,1
P6,well,guide,dnaB_2,0.0,0.0,0.0,1
P6,well,guide,dnaB_3,0.0,0.0,0.0,1
P6,well,guide,dnaE_1,0.0,0.0,0.0,1
P6,well,guide,dnaE_2,0.0,0.0,0.0,1
P6,well,guide,dnaE_3,0.0,0.0,0.0,1
P6,well,guide,folA_1,0.0,0.0,0.0,1
P6,well,guide,folA_2,0.3333333333333333,1.0,0.5,1
